server_timestamp,arduino_timestamp,X,Y,Z
2025-11-02 20:34:29.681,1078654,0.281,-0.625,0.375
2025-11-02 20:34:29.908,1078882,0.125,-0.687,0.469
2025-11-02 20:34:30.136,1079110,-0.187,-0.937,0.562
2025-11-02 20:34:30.366,1079338,-0.406,-0.781,0.562
2025-11-02 20:34:30.602,1079568,-0.625,-0.656,0.187
2025-11-02 20:34:30.836,1079806,-0.687,-0.625,0.187
2025-11-02 20:34:31.070,1080044,-0.781,-0.531,0.125
2025-11-02 20:34:31.300,1080272,-0.781,-0.562,0.125
2025-11-02 20:34:31.536,1080502,-0.812,-0.594,0.187
2025-11-02 20:34:31.765,1080739,-0.562,-0.312,0.250
2025-11-02 20:34:31.993,1080967,-0.125,-0.937,0.406
2025-11-02 20:34:32.221,1081195,0.125,-0.687,0.406
2025-11-02 20:34:32.449,1081423,0.250,-0.687,0.312
2025-11-02 20:34:32.680,1081651,0.125,-0.750,0.406
2025-11-02 20:34:32.924,1081889,-0.156,-0.781,0.437
2025-11-02 20:34:33.153,1082127,-0.437,-0.906,0.312
2025-11-02 20:34:33.382,1082355,-0.562,-0.750,0.219
2025-11-02 20:34:33.616,1082584,-0.687,-0.687,0.187
2025-11-02 20:34:33.851,1082824,-0.750,-0.562,0.062
2025-11-02 20:34:34.080,1083053,-0.781,-0.562,0.062
2025-11-02 20:34:34.308,1083281,-0.781,-0.531,0.094
2025-11-02 20:34:34.538,1083511,-0.750,-0.656,0.312
2025-11-02 20:34:34.775,1083740,-0.531,-0.781,0.562
2025-11-02 20:34:35.007,1083980,-0.125,-0.594,0.531
2025-11-02 20:34:35.238,1084210,0.219,-0.656,0.625
2025-11-02 20:34:35.467,1084438,0.344,-0.594,0.531
2025-11-02 20:34:35.711,1084675,0.250,-0.625,0.500
2025-11-02 20:34:35.951,1084918,-0.062,-0.719,0.594
2025-11-02 20:34:36.194,1085159,-0.437,-0.781,0.531
2025-11-02 20:34:36.436,1085402,-0.594,-0.750,0.344
2025-11-02 20:34:36.675,1085646,-0.656,-0.687,0.187
2025-11-02 20:34:36.916,1085884,-0.750,-0.531,0.094
2025-11-02 20:34:37.154,1086122,-0.781,-0.531,0.062
2025-11-02 20:34:37.381,1086356,-0.812,-0.469,0.031
2025-11-02 20:34:37.611,1086584,-0.844,-0.469,0.031
2025-11-02 20:34:37.845,1086813,-0.812,-0.594,0.062
2025-11-02 20:34:38.089,1087054,-0.594,-0.625,0.406
2025-11-02 20:34:38.325,1087294,-0.125,-0.875,0.437
2025-11-02 20:34:38.554,1087525,0.281,-0.719,0.469
2025-11-02 20:34:38.780,1087752,0.437,-0.594,0.281
2025-11-02 20:34:39.009,1087980,0.312,-0.687,0.375
2025-11-02 20:34:39.246,1088218,0.062,-0.812,0.437
2025-11-02 20:34:39.475,1088448,-0.437,-0.844,0.312
2025-11-02 20:34:39.701,1088676,-0.594,-0.781,0.250
2025-11-02 20:34:39.930,1088903,-0.687,-0.594,0.187
2025-11-02 20:34:40.160,1089131,-0.781,-0.562,0.062
2025-11-02 20:34:40.398,1089362,-0.812,-0.469,0.000
2025-11-02 20:34:40.632,1089601,-0.844,-0.406,0.000
2025-11-02 20:34:40.861,1089833,-0.875,-0.406,0.000
2025-11-02 20:34:41.087,1090061,-0.844,-0.469,-0.156
2025-11-02 20:34:41.319,1090290,-0.750,-0.719,0.156
2025-11-02 20:34:41.554,1090522,-0.250,-0.844,0.281
2025-11-02 20:34:41.787,1090756,0.125,-0.812,0.500
2025-11-02 20:34:42.016,1090987,0.344,-0.719,0.437
2025-11-02 20:34:42.243,1091215,0.281,-0.625,0.312
2025-11-02 20:34:42.469,1091443,0.094,-0.781,0.437
